description,price,url,condition
"HP 17t Laptop, 17.3"" HD+ Touchscreen, Intel Core i7-1165G7 Processor, 16GB RAM, 512GB SSD, Wi-Fi 6, Backlit Keyboard, Windows 10 Home, Silver","$1,059.00 –",https://www.newegg.com/p/1TS-000D-0JK29?cm_sp=SH-_-986809-_-8-_-0-_-9SIB0GJF255306-_-laptop-_-laptop-_-4&Item=9SIB0GJF255306,old
"HP 2022 Newest Envy 17t High Performance Laptop, 17.3"" Full HD Touchscreen, 11th Gen Intel Core i7-1165G7 Processor, 16GB RAM, 512GB SSD, Wi-Fi 6, Backlit Keyboard, Fingerprint Reader, Windows 11 Pro","$1,099.00 –",https://www.newegg.com/p/1TS-000D-0SY54?cm_sp=SH-_-943953-_-8-_-2-_-9SIB0GJGSZ4873-_-laptop-_-laptop-_-1&Item=9SIB0GJGSZ4873,old
"[Windows 11 Home] Newest ASUS VivoBook 15 Laptop, 15.6” Full HD Touchscreen, Intel Core i3-1115G4, 12GB RAM, 256GB SSD, Backlit Keyboard, Fingerprint Reader, USB Type-C, HDMI, Wi-Fi, Slate Gray",$559.00 –,https://www.newegg.com/p/1TS-001A-051R3?cm_sp=SH-_-943953-_-8-_-2-_-9SIB0GJGJ88624-_-laptop-_-laptop-_-2&Item=9SIB0GJGJ88624,old
"[Windows 11 Home] Newest HP Laptop, 15.6” Full HD, AMD Athlon Silver 3050u, 8GB RAM, 256GB SSD, Media Card Reader, USB Type-C, HDMI, Webcam, Wi-Fi, Bluetooth, Silver",$489.00 –,https://www.newegg.com/p/1TS-000D-0S3K6?cm_sp=SH-_-943953-_-8-_-2-_-9SIB0GJGJF1960-_-laptop-_-laptop-_-3&Item=9SIB0GJGJF1960,old
"Refurbished: DELL Laptop 7480 Intel Core i5 6300U (2.40GHz) 16GB Memory 256 SSD Intel HD Graphics 14.0"" Windows 10",$370.99 –,https://www.newegg.com/gray-dell-7480-workstation/p/N82E16834844738?Item=N82E16834844738&Description=laptop&cm_re=laptop-_-34-844-738-_-Product,old
"Refurbished: DELL Laptop 3189 Intel Pentium N4200 (1.10GHz) 4 GB Memory 128 GB SSD Intel HD Graphics 505 11.6"" Touchscreen Windows 10 Pro 64-bit Grade C",$144.99 –,https://www.newegg.com/dell-3189-work-business/p/N82E16834343409?Item=N82E16834343409&Description=laptop&cm_re=laptop-_-34-343-409-_-Product,old
"Refurbished: DELL Grade A Laptop Latitude 7280 Intel Core i7 6th Gen 6600U (2.60GHz) 16GB Memory 256 GB SSD Intel HD Graphics 520 12.5"" Windows 10 Pro 64-bit",$359.99 –,https://www.newegg.com/dell-latitude-7280-work-business/p/N82E16834343472?Item=N82E16834343472&Description=laptop&cm_re=laptop-_-34-343-472-_-Product,old
"Refurbished: Dell Latitude E5450 14"" 1366x768 HD Laptop PC, Intel Core i5-5300U 2.3GHz, 8GB DDR3 RAM, 256GB SSD, Windows 10 Pro Grade B",$289.99 (2 Offers)–,https://www.newegg.com/black-dell-latitude-e5450/p/1TS-000A-0FWR3?Item=9SIADT2F209493&Description=laptop&cm_re=laptop-_-1TS-000A-0FWR3-_-Product,old
"Refurbished: DELL Latitude E5470 Laptop Intel Core i5 6th Gen 6300U (2.40 GHz) 8 GB Memory 256 GB SSD 14.0"" Windows 10 Pro 64-bit Grade A",,https://www.newegg.com/dell-e5470/p/N82E16834849842?Item=9SIADT2GTM2321&Description=laptop&cm_re=laptop-_-34-849-842-_-Product,old
"Refurbished: Dell Latitude E7240 12.5"" 1366x768 Laptop PC, Intel Core i5-4300U 1.9GHz, 8GB DDR3 RAM, 256GB SSD, Windows 10 Pro Grade B",$224.99 –,https://www.newegg.com/black-silver-dell-latitude-e7240-mainstream/p/1TS-000A-05VT1?Item=9SIADT29RY8048&Description=laptop&cm_re=laptop-_-1TS-000A-05VT1-_-Product,old
"Refurbished: DELL Grade A Laptop 5480 Intel Core i5 6th Gen 6200U (2.30GHz) 8GB Memory 256 GB SSD 14.0"" Windows 10 Pro 64-Bit",$310.99 –,https://www.newegg.com/dell-5480/p/N82E16834944206?Item=N82E16834944206&Description=laptop&cm_re=laptop-_-34-944-206-_-Product,old
"Refurbished: DELL Grade A Laptop Precision 5520 Intel Core i7 6th Gen 6820HQ (2.70GHz) 32GB Memory 512 GB SSD 15.6"" Windows 10 Pro 64-bit",$790.99 –,https://www.newegg.com/dell-precision-5520-workstation/p/N82E16834343046?Item=N82E16834343046&Description=laptop&cm_re=laptop-_-34-343-046-_-Product,old
"Refurbished: DELL A Grade Laptop 3380 Intel Core i5 7th Gen 7300U (2.60GHz) 16GB Memory 256 GB SSD Intel HD Graphics 620 13.3"" Windows 10 Pro 64-bit",$364.99 –,https://www.newegg.com/gray-dell-3380-workstation/p/N82E16834343071?Item=N82E16834343071&Description=laptop&cm_re=laptop-_-34-343-071-_-Product,old
"Refurbished: DELL Grade A Laptop Latitude 5580 Intel Core i5 7th Gen 7300U (2.60GHz) 16GB Memory 256 GB SSD Intel HD Graphics 620 15.6"" Windows 10 Pro 64-bit",$534.99 –,https://www.newegg.com/dell-latitude-5580/p/N82E16834343225?Item=N82E16834343225&Description=laptop&cm_re=laptop-_-34-343-225-_-Product,old
"Refurbished: DELL Grade A Laptop Latitude 7490 Intel Core i5 7th Gen 7300U (2.60GHz) 16GB Memory 256 GB SSD Intel HD Graphics 620 14.0"" Windows 10 Pro 64-bit",$497.99 –,https://www.newegg.com/dell-latitude-7490/p/N82E16834343372?Item=N82E16834343372&Description=laptop&cm_re=laptop-_-34-343-372-_-Product,old
"Refurbished: DELL Grade A Laptop Latitude 7480 Intel Core i5 7th Gen 7200U (2.50GHz) 16GB Memory 256 GB SSD Intel HD Graphics 620 14.0"" Windows 10 Pro 64-bit",$435.99 –,https://www.newegg.com/dell-latitude-7480/p/N82E16834343034?Item=N82E16834343034&Description=laptop&cm_re=laptop-_-34-343-034-_-Product,old
"Refurbished: DELL Grade A Laptop Precision 5520 Intel Core i7 7th Gen 7820HQ (2.90GHz) 16GB Memory 500 GB SSD Intel HD Graphics 630 15.6"" Windows 10 Pro 64-bit",$746.99 –,https://www.newegg.com/dell-precision-5520/p/N82E16834843818?Item=N82E16834843818&Description=laptop&cm_re=laptop-_-34-843-818-_-Product,old
"Refurbished: DELL Laptop Latitude E5470 Intel Core i7 6th Gen 6820HQ (2.70GHz) 16GB Memory 256 GB SSD Intel HD Graphics 530 14.0"" Windows 10 Pro 64-bit",$439.99 –,https://www.newegg.com/black-dell-latitude-e5470-work-business/p/N82E16834343478?Item=N82E16834343478&Description=laptop&cm_re=laptop-_-34-343-478-_-Product,old
"Refurbished: Dell Latitude 7390 13.3 inch 1920x1080 Full HD Touchscreen Laptop PC, Intel Quad Core i7-8650U 1.9GHz, 8GB Ram, 512GB SSD, Win 10 Pro Grade B+",$499.99 –,https://www.newegg.com/black-dell-latitude-7390-mainstream/p/1TS-000A-0DD33?Item=9SIADT2E406436&Description=laptop&cm_re=laptop-_-9SIADT2E406436-_-Product,old
"Refurbished: DELL Grade A Laptop XPS 7490 Intel Core i7 8th Gen 8650U (1.90GHz) 16GB Memory 512 GB SSD Intel UHD Graphics 620 14.0"" Windows 10 Pro 64-bit",$737.99 –,https://www.newegg.com/dell-xps-7490/p/N82E16834843812?Item=N82E16834843812&Description=laptop&cm_re=laptop-_-34-843-812-_-Product,old
"Refurbished: DELL Precision 7510 Laptop Intel Core i7 6th Gen 6820HQ (2.70 GHz) 16 GB Memory 512 GB SSD 15.6"" Windows 10 Pro 64-bit Grade A",$651.99 –,https://www.newegg.com/dell-precision-7510/p/N82E16834944864?Item=N82E16834944864&Description=laptop&cm_re=laptop-_-34-944-864-_-Product,old
"Refurbished: DELL Grade A Laptop Latitude 7480 Intel Core i7 7th Gen 7600U (2.80GHz) 16GB Memory 512 GB SSD Intel HD Graphics 620 14.0"" Windows 10 Pro 64-bit",$623.99 –,https://www.newegg.com/dell-latitude-7480/p/N82E16834343234?Item=N82E16834343234&Description=laptop&cm_re=laptop-_-34-343-234-_-Product,old
"Refurbished: DELL Grade A Laptop Latitude 7390 Intel Core i5 8th Gen 8350U (1.70GHz) 8GB Memory 256 GB SSD Intel UHD Graphics 620 13.3"" Windows 10 Pro 64-bit",$439.99 –,https://www.newegg.com/dell-latitude-7390-work-business/p/N82E16834343433?Item=N82E16834343433&Description=laptop&cm_re=laptop-_-34-343-433-_-Product,old
"Refurbished: DELL Grade A Laptop Precision 7520 Intel Xeon E3-1505M v6 (3.0GHz) 32GB Memory 512 GB SSD Intel HD Graphics P630 15.6"" Windows 10 Pro 64-bit",$817.99 –,https://www.newegg.com/dell-precision-7520/p/N82E16834343208?Item=N82E16834343208&Description=laptop&cm_re=laptop-_-34-343-208-_-Product,old
"Refurbished: DELL Grade A Laptop 7370 Intel Core M5 6Y57 (1.10GHz) 8GB Memory 256 GB SSD 13.3"" Windows 10 Pro",$283.99 –,https://www.newegg.com/dell-7370/p/N82E16834843140?Item=N82E16834843140&Description=laptop&cm_re=laptop-_-34-843-140-_-Product,old
"Refurbished: Dell Latitude 3480 14.0-in Laptop - Intel Core i5 7200U 7th Gen 2.50 GHz 16GB 512GB SSD Windows 10 Pro Education 64-Bit - Webcam, Touchscreen",$410.99 –,https://www.newegg.com/dell-latitude-3480-everyday-value/p/1TS-000A-0K4Y1?Item=1TS-000A-0K4Y1&Description=laptop&cm_re=laptop-_-1TS-000A-0K4Y1-_-Product,old
"Refurbished: DELL Laptop 7390 Intel Core i7 8th Gen 8650U (1.90GHz) 16GB Memory 512 GB M.2 SSD 13.3"" Windows 10 Pro 64bit",$593.99 –,https://www.newegg.com/dell-7390/p/N82E16834343084?Item=N82E16834343084&Description=laptop&cm_re=laptop-_-34-343-084-_-Product,old
"Refurbished: DELL Grade B Laptop Latitude 3190 Intel Pentium Silver N5000 (1.10GHz) 4GB Memory 128 GB SSD Intel UHD Graphics 605 11.6"" Touchscreen Windows 10 Pro 64-bit",$159.99 –,https://www.newegg.com/dell-latitude-3190-work-business/p/N82E16834343499?Item=N82E16834343499&Description=laptop&cm_re=laptop-_-34-343-499-_-Product,old
"Refurbished: DELL Laptop Latitude E7470 Intel Core i5 6th Gen 6300U (2.40GHz) 8GB Memory 256 GB SSD Intel HD Graphics 520 14.0"" Windows 10 Pro 64-bit",$349.99 –,https://www.newegg.com/aluminum-dell-latitude-e7470-work-business/p/N82E16834343436?Item=N82E16834343436&Description=laptop&cm_re=laptop-_-34-343-436-_-Product,old
"Refurbished: DELL B Grade Laptop 5404 Rugged Intel Core i5 4th Gen 4310U (2.00GHz) 8GB Memory 256 GB SSD 14.0"" Windows 10 Pro",$498.99 –,https://www.newegg.com/dell-5404-rugged/p/N82E16834846054?Item=N82E16834846054&Description=laptop&cm_re=laptop-_-34-846-054-_-Product,old
