,description,price,url
0,"HP 17t Laptop, 17.3"" HD+ Touchscreen, Intel Core i7-1165G7 Processor, 16GB RAM, 512GB SSD, Wi-Fi 6, Backlit Keyboard, Windows 10 Home, Silver","$1,059.00 –",https://www.newegg.com/p/1TS-000D-0JK29?cm_sp=SH-_-986809-_-8-_-0-_-9SIB0GJF255306-_-laptop-_-laptop-_-4&Item=9SIB0GJF255306
1,"HP 2022 Newest Envy 17t High Performance Laptop, 17.3"" Full HD Touchscreen, 11th Gen Intel Core i7-1165G7 Processor, 16GB RAM, 512GB SSD, Wi-Fi 6, Backlit Keyboard, Fingerprint Reader, Windows 11 Pro","$1,099.00 –",https://www.newegg.com/p/1TS-000D-0SY54?cm_sp=SH-_-943953-_-8-_-2-_-9SIB0GJGSZ4873-_-laptop-_-laptop-_-1&Item=9SIB0GJGSZ4873
2,"[Windows 11 Home] Newest ASUS VivoBook 15 Laptop, 15.6” Full HD Touchscreen, Intel Core i3-1115G4, 12GB RAM, 256GB SSD, Backlit Keyboard, Fingerprint Reader, USB Type-C, HDMI, Wi-Fi, Slate Gray",$559.00 –,https://www.newegg.com/p/1TS-001A-051R3?cm_sp=SH-_-943953-_-8-_-2-_-9SIB0GJGJ88624-_-laptop-_-laptop-_-2&Item=9SIB0GJGJ88624
3,"[Windows 11 Home] Newest HP Laptop, 15.6” Full HD, AMD Athlon Silver 3050u, 8GB RAM, 256GB SSD, Media Card Reader, USB Type-C, HDMI, Webcam, Wi-Fi, Bluetooth, Silver",$489.00 –,https://www.newegg.com/p/1TS-000D-0S3K6?cm_sp=SH-_-943953-_-8-_-2-_-9SIB0GJGJF1960-_-laptop-_-laptop-_-3&Item=9SIB0GJGJF1960
4,"DELL Laptop Latitude 5420 Rugged 6GV87 Intel Core i5 8th Gen 8350U (1.70GHz) 16GB Memory 512 GB PCIe SSD Intel UHD Graphics 14.0"" Windows 10 Pro 64-bit","$2,018.99 –",https://www.newegg.com/dell-latitude-5420-rugged-6gv87-mainstream/p/1B4-0016-05Y33?Item=1B4-0016-05Y33&Description=laptop&cm_re=laptop-_-1B4-0016-05Y33-_-Product
5,"DELL Laptop Latitude 5520 Y5H5J Intel Core i5 11th Gen 1135G7 (2.40GHz) 8GB Memory 256 GB PCIe SSD Intel Iris Xe Graphics 15.6"" Windows 10 Pro 64-bit","$1,399.99 –",https://www.newegg.com/dell-latitude-5520-y5h5j/p/1B4-0016-061Y3?Item=1B4-0016-061Y3&Description=laptop&cm_re=laptop-_-1B4-0016-061Y3-_-Product
6,"Dell Latitude 3520 15.6"" Laptop i5-1135G7 8GB 256GB SSD W10 Pro 6T5NY",$909.99 –,https://www.newegg.com/black-dell-6t5ny-everyday-value/p/1TS-000A-0FTR3?Item=1TS-000A-0FTR3&Description=laptop&cm_re=laptop-_-1TS-000A-0FTR3-_-Product
7,"DELL Laptop Latitude 5520 N59WR Intel Core i7 11th Gen 1185G7 (3.00 GHz) 8 GB Memory 256 GB PCIe SSD Intel Iris Xe Graphics 15.6"" IPS 1920 x 1080 Windows 10 Pro 64-bit","$1,702.99 –",https://www.newegg.com/dell-latitude-5520-n59wr-mainstream/p/1B4-0016-06FZ9?Item=1B4-0016-06FZ9&Description=laptop&cm_re=laptop-_-1B4-0016-06FZ9-_-Product
8,"DELL Laptop Latitude 5420 DY0HX Intel Core i7 11th Gen 1185G7 (3.00 GHz) 16 GB Memory 512 GB PCIe SSD 14"" FHD 1920 x 1080 Intel Iris Xe Graphics Windows 10 Pro 64-bit","$1,925.99 –",https://www.newegg.com/dell-latitude-5420-dy0hx-mainstream/p/1B4-0016-062F3?Item=1B4-0016-062F3&Description=laptop&cm_re=laptop-_-1B4-0016-062F3-_-Product
9,"DELL Laptop Latitude 3420 G5PFR Intel Core i5 11th Gen 1135G7 (2.40GHz) 8GB Memory 500GB HDD Intel Iris Xe Graphics 14.0"" Windows 10 Pro 64-bit",$743.99 –,https://www.newegg.com/black-dell-latitude-3420-g5pfr-work-business/p/2WC-0009-010T9?Item=2WC-0009-010T9&Description=laptop&cm_re=laptop-_-2WC-0009-010T9-_-Product
10,"DELL Laptop Latitude 5520 Y7RJC Intel Core i5 11th Gen 1145G7 (2.60GHz) 16GB Memory 512 GB PCIe SSD Intel Iris Xe Graphics 15.6"" Windows 10 Pro 64-bit","$1,769.99 –",https://www.newegg.com/dell-latitude-5520-y7rjc/p/2WC-0009-00W77?Item=2WC-0009-00W77&Description=laptop&cm_re=laptop-_-2WC-0009-00W77-_-Product
11,"DELL Laptop Latitude 5520 0T4NP Intel Core i7 11th Gen 1185G7 (3.00GHz) 16GB Memory 512 GB PCIe SSD Intel Iris Xe Graphics 15.6"" Windows 10 Pro 64-bit","$1,997.99 –",https://www.newegg.com/dell-latitude-5520-0t4np-mainstream/p/1B4-0016-062F0?Item=1B4-0016-062F0&Description=laptop&cm_re=laptop-_-1B4-0016-062F0-_-Product
12,"DELL Laptop Latitude 5520 9H83R Intel Core i5 11th Gen 1145G7 (2.60 GHz) 16 GB Memory 256 GB PCIe SSD Intel Iris Xe Graphics 15.6"" FHD 1920 x 1080 Windows 10 Pro 64-bit","$1,659.99 –",https://www.newegg.com/dell-latitude-5520-9h83r-mainstream/p/1B4-0016-061X8?Item=1B4-0016-061X8&Description=laptop&cm_re=laptop-_-1B4-0016-061X8-_-Product
