,description,price,url,condition,Brand,Processor,Storage,Touchscreen,HDMI,Chromebook,OS,storage,RAM,screensize
4,Refurbished: DELL Laptop 7480 Intel Core i5 6300U (2.40GHz) 16GB Memory 256 SSD Intel HD Graphics 14.0  inch Windows 10,370.99,https://www.newegg.com/gray-dell-7480-workstation/p/N82E16834844738?Item=N82E16834844738&Description=laptop&cm_re=laptop-_-34-844-738-_-Product,old,Dell,i5,SSD,no,no,no,windows,256,16,14.0
6,Refurbished: DELL Grade A Laptop Latitude 7280 Intel Core i7 6th Gen 6600U (2.60GHz) 16GB Memory 256 GB SSD Intel HD Graphics 520 12.5  inch Windows 10 Pro 64-bit,359.99,https://www.newegg.com/dell-latitude-7280-work-business/p/N82E16834343472?Item=N82E16834343472&Description=laptop&cm_re=laptop-_-34-343-472-_-Product,old,Dell,i7,SSD,no,no,no,windows,256,16,12.5
7,"Refurbished: Dell Latitude E5450 14  inch 1366x768 HD Laptop PC, Intel Core i5-5300U 2.3GHz, 8GB DDR3 RAM, 256GB SSD, Windows 10 Pro Grade B",289.99,https://www.newegg.com/black-dell-latitude-e5450/p/1TS-000A-0FWR3?Item=9SIADT2F209493&Description=laptop&cm_re=laptop-_-1TS-000A-0FWR3-_-Product,old,Dell,i5,SSD,no,no,no,windows,256,8,14
9,"Refurbished: Dell Latitude E7240 12.5  inch 1366x768 Laptop PC, Intel Core i5-4300U 1.9GHz, 8GB DDR3 RAM, 256GB SSD, Windows 10 Pro Grade B",224.99,https://www.newegg.com/black-silver-dell-latitude-e7240-mainstream/p/1TS-000A-05VT1?Item=9SIADT29RY8048&Description=laptop&cm_re=laptop-_-1TS-000A-05VT1-_-Product,old,Dell,i5,SSD,no,no,no,windows,256,8,12.5
10,Refurbished: DELL Grade A Laptop 5480 Intel Core i5 6th Gen 6200U (2.30GHz) 8GB Memory 256 GB SSD 14.0  inch Windows 10 Pro 64-Bit,310.99,https://www.newegg.com/dell-5480/p/N82E16834944206?Item=N82E16834944206&Description=laptop&cm_re=laptop-_-34-944-206-_-Product,old,Dell,i5,SSD,no,no,no,windows,256,8,14.0
11,Refurbished: DELL Grade A Laptop Precision 5520 Intel Core i7 6th Gen 6820HQ (2.70GHz) 32GB Memory 512 GB SSD 15.6  inch Windows 10 Pro 64-bit,790.99,https://www.newegg.com/dell-precision-5520-workstation/p/N82E16834343046?Item=N82E16834343046&Description=laptop&cm_re=laptop-_-34-343-046-_-Product,old,Dell,i7,SSD,no,no,no,windows,512,32,15.6
12,Refurbished: DELL A Grade Laptop 3380 Intel Core i5 7th Gen 7300U (2.60GHz) 16GB Memory 256 GB SSD Intel HD Graphics 620 13.3  inch Windows 10 Pro 64-bit,364.99,https://www.newegg.com/gray-dell-3380-workstation/p/N82E16834343071?Item=N82E16834343071&Description=laptop&cm_re=laptop-_-34-343-071-_-Product,old,Dell,i5,SSD,no,no,no,windows,256,16,13.3
13,Refurbished: DELL Grade A Laptop Latitude 5580 Intel Core i5 7th Gen 7300U (2.60GHz) 16GB Memory 256 GB SSD Intel HD Graphics 620 15.6  inch Windows 10 Pro 64-bit,534.99,https://www.newegg.com/dell-latitude-5580/p/N82E16834343225?Item=N82E16834343225&Description=laptop&cm_re=laptop-_-34-343-225-_-Product,old,Dell,i5,SSD,no,no,no,windows,256,16,15.6
14,Refurbished: DELL Grade A Laptop Latitude 7490 Intel Core i5 7th Gen 7300U (2.60GHz) 16GB Memory 256 GB SSD Intel HD Graphics 620 14.0  inch Windows 10 Pro 64-bit,497.99,https://www.newegg.com/dell-latitude-7490/p/N82E16834343372?Item=N82E16834343372&Description=laptop&cm_re=laptop-_-34-343-372-_-Product,old,Dell,i5,SSD,no,no,no,windows,256,16,14.0
15,Refurbished: DELL Grade A Laptop Latitude 7480 Intel Core i5 7th Gen 7200U (2.50GHz) 16GB Memory 256 GB SSD Intel HD Graphics 620 14.0  inch Windows 10 Pro 64-bit,435.99,https://www.newegg.com/dell-latitude-7480/p/N82E16834343034?Item=N82E16834343034&Description=laptop&cm_re=laptop-_-34-343-034-_-Product,old,Dell,i5,SSD,no,no,no,windows,256,16,14.0
16,Refurbished: DELL Grade A Laptop Precision 5520 Intel Core i7 7th Gen 7820HQ (2.90GHz) 16GB Memory 500 GB SSD Intel HD Graphics 630 15.6  inch Windows 10 Pro 64-bit,746.99,https://www.newegg.com/dell-precision-5520/p/N82E16834843818?Item=N82E16834843818&Description=laptop&cm_re=laptop-_-34-843-818-_-Product,old,Dell,i7,SSD,no,no,no,windows,500,16,15.6
17,Refurbished: DELL Laptop Latitude E5470 Intel Core i7 6th Gen 6820HQ (2.70GHz) 16GB Memory 256 GB SSD Intel HD Graphics 530 14.0  inch Windows 10 Pro 64-bit,439.99,https://www.newegg.com/black-dell-latitude-e5470-work-business/p/N82E16834343478?Item=N82E16834343478&Description=laptop&cm_re=laptop-_-34-343-478-_-Product,old,Dell,i7,SSD,no,no,no,windows,256,16,14.0
